date,open,high,low,close,volume,dividends,stock_splits,stock_id,ticker,company_name,sector,exchange,country,price_id,is_real_time
2000-04-05 00:00:00-04:00,1494.72998,1506.550049,1478.050049,1487.369995,1110300000,0,0,,,,,,,,
2000-04-06 00:00:00-04:00,1487.369995,1511.76001,1487.369995,1501.339966,1008000000,0,0,,,,,,,,
2000-04-07 00:00:00-04:00,1501.339966,1518.680054,1501.339966,1516.349976,891600000,0,0,,,,,,,,
2000-04-10 00:00:00-04:00,1516.349976,1527.189941,1503.349976,1504.459961,853700000,0,0,,,,,,,,
2000-04-11 00:00:00-04:00,1504.459961,1512.800049,1486.780029,1500.589966,971400000,0,0,,,,,,,,
2000-04-12 00:00:00-04:00,1500.589966,1509.079956,1466.150024,1467.170044,1175900000,0,0,,,,,,,,
2000-04-13 00:00:00-04:00,1467.170044,1477.52002,1439.339966,1440.51001,1032000000,0,0,,,,,,,,
2000-04-14 00:00:00-04:00,1440.51001,1440.51001,1339.400024,1356.560059,1279700000,0,0,,,,,,,,
2000-04-17 00:00:00-04:00,1356.560059,1401.530029,1346.5,1401.439941,1204700000,0,0,,,,,,,,
2000-04-18 00:00:00-04:00,1401.439941,1441.609985,1397.810059,1441.609985,1109400000,0,0,,,,,,,,
2000-04-19 00:00:00-04:00,1441.609985,1447.689941,1424.26001,1427.469971,1001400000,0,0,,,,,,,,
2000-04-20 00:00:00-04:00,1427.469971,1435.48999,1422.079956,1434.540039,896200000,0,0,,,,,,,,
2000-04-24 00:00:00-04:00,1434.540039,1434.540039,1407.130005,1429.859985,868700000,0,0,,,,,,,,
2000-04-25 00:00:00-04:00,1429.859985,1477.670044,1429.859985,1477.439941,1071100000,0,0,,,,,,,,
2000-04-26 00:00:00-04:00,1477.439941,1482.939941,1456.97998,1460.98999,999600000,0,0,,,,,,,,
2000-04-27 00:00:00-04:00,1460.98999,1469.209961,1434.810059,1464.920044,1111000000,0,0,,,,,,,,
2000-04-28 00:00:00-04:00,1464.920044,1473.619995,1448.150024,1452.430054,984600000,0,0,,,,,,,,
2000-05-01 00:00:00-04:00,1452.430054,1481.51001,1452.430054,1468.25,966300000,0,0,,,,,,,,
2000-05-02 00:00:00-04:00,1468.25,1468.25,1445.219971,1446.290039,1011500000,0,0,,,,,,,,
2000-05-03 00:00:00-04:00,1446.290039,1446.290039,1398.359985,1415.099976,991600000,0,0,,,,,,,,
2000-05-04 00:00:00-04:00,1415.099976,1420.98999,1404.939941,1409.569946,925800000,0,0,,,,,,,,
2000-05-05 00:00:00-04:00,1409.569946,1436.030029,1405.079956,1432.630005,805500000,0,0,,,,,,,,
2000-05-08 00:00:00-04:00,1432.630005,1432.630005,1417.050049,1424.170044,787600000,0,0,,,,,,,,
2000-05-09 00:00:00-04:00,1424.170044,1430.280029,1401.849976,1412.140015,896600000,0,0,,,,,,,,
2000-05-10 00:00:00-04:00,1412.140015,1412.140015,1375.140015,1383.050049,1006400000,0,0,,,,,,,,
2000-05-11 00:00:00-04:00,1383.050049,1410.26001,1383.050049,1407.810059,953600000,0,0,,,,,,,,
2000-05-12 00:00:00-04:00,1407.810059,1430.130005,1407.810059,1420.959961,858200000,0,0,,,,,,,,
2000-05-15 00:00:00-04:00,1420.959961,1452.390015,1416.540039,1452.359985,854600000,0,0,,,,,,,,
2000-05-16 00:00:00-04:00,1452.359985,1470.400024,1450.76001,1466.040039,955500000,0,0,,,,,,,,
2000-05-17 00:00:00-04:00,1466.040039,1466.040039,1441.670044,1447.800049,820500000,0,0,,,,,,,,
2000-05-18 00:00:00-04:00,1447.800049,1458.040039,1436.589966,1437.209961,807900000,0,0,,,,,,,,
2000-05-19 00:00:00-04:00,1437.209961,1437.209961,1401.73999,1406.949951,853700000,0,0,,,,,,,,
2000-05-22 00:00:00-04:00,1406.949951,1410.550049,1368.72998,1400.719971,869000000,0,0,,,,,,,,
2000-05-23 00:00:00-04:00,1400.719971,1403.77002,1373.430054,1373.859985,869900000,0,0,,,,,,,,
2000-05-24 00:00:00-04:00,1373.859985,1401.75,1361.089966,1399.050049,1152300000,0,0,,,,,,,,
2000-05-25 00:00:00-04:00,1399.050049,1411.650024,1373.930054,1381.52002,984500000,0,0,,,,,,,,
2000-05-26 00:00:00-04:00,1381.52002,1391.420044,1369.75,1378.02002,722600000,0,0,,,,,,,,
2000-05-30 00:00:00-04:00,1378.02002,1422.449951,1378.02002,1422.449951,844200000,0,0,,,,,,,,
2000-05-31 00:00:00-04:00,1422.439941,1434.48999,1415.5,1420.599976,960500000,0,0,,,,,,,,
2000-06-01 00:00:00-04:00,1420.599976,1448.810059,1420.599976,1448.810059,960100000,0,0,,,,,,,,
2000-06-02 00:00:00-04:00,1448.810059,1483.22998,1448.810059,1477.26001,1162400000,0,0,,,,,,,,
2000-06-05 00:00:00-04:00,1477.26001,1477.280029,1464.680054,1467.630005,838600000,0,0,,,,,,,,
2000-06-06 00:00:00-04:00,1467.630005,1471.359985,1454.73999,1457.839966,950100000,0,0,,,,,,,,
2000-06-07 00:00:00-04:00,1457.839966,1474.640015,1455.060059,1471.359985,854600000,0,0,,,,,,,,
2000-06-08 00:00:00-04:00,1471.359985,1475.650024,1456.48999,1461.670044,854300000,0,0,,,,,,,,
2000-06-09 00:00:00-04:00,1461.670044,1472.670044,1454.959961,1456.949951,786000000,0,0,,,,,,,,
2000-06-12 00:00:00-04:00,1456.949951,1462.930054,1445.98999,1446,774100000,0,0,,,,,,,,
2000-06-13 00:00:00-04:00,1446,1470.420044,1442.380005,1469.439941,935900000,0,0,,,,,,,,
2000-06-14 00:00:00-04:00,1469.439941,1483.619995,1467.709961,1470.540039,929700000,0,0,,,,,,,,
2000-06-15 00:00:00-04:00,1470.540039,1482.040039,1464.619995,1478.72998,1011400000,0,0,,,,,,,,
2000-06-16 00:00:00-04:00,1478.72998,1480.77002,1460.420044,1464.459961,1250800000,0,0,,,,,,,,
2000-06-19 00:00:00-04:00,1464.459961,1488.930054,1459.050049,1486,921700000,0,0,,,,,,,,
2000-06-20 00:00:00-04:00,1486,1487.319946,1470.180054,1475.949951,1031500000,0,0,,,,,,,,
2000-06-21 00:00:00-04:00,1475.949951,1482.189941,1468,1479.130005,1009600000,0,0,,,,,,,,
